Name,CreatedBy,CreatedOn,Category,Description,AssetType,Manufacturer,ModelNumber,WarrantyGuarantorParts,WarrantyDurationParts,WarrantyGuarantorLabor,WarrantyDurationLabor,WarrantyDurationUnit,ExtSystem,ExtObject,ExtIdentifier,ReplacementCost,ExpectedLife,DurationUnit,WarrantyDescription,NominalLength,NominalWidth,NominalHeight,ModelReference,Shape,Size,Color,Finish,Grade,Material,Constituents,Features,AccessibilityPerformance,CodePerformance,SustainabilityPerformance,Area,Length,
Door Type B1,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Flush Solid Core Wood w/Glass - 0915 x 2134mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,51372150-39ce-4ba7-b565-b769bf09603c-000ead31,n/a,15,year,n/a,45,1.065,2.135,n/a,rectangular,n/a,n/a,Solid Core,n/a,Wood,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type C1,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Lead Lined Flush Solid Core Wood - 0915 x 2134mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,7fed62d3-f813-4711-aa58-3466ec61deac-000ead37,n/a,15,year,n/a,45,1.22,2.135,n/a,rectangular,n/a,n/a,Lead Lined Solid Core,n/a,Wood,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type B2,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Flush Solid Core Wood w/Glass - 0915 x 2134mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,c6535b56-de2a-4007-a619-20a73b66884e-000ead3d,n/a,15,year,n/a,45,0.915,2.375,n/a,rectangular,n/a,n/a,Solid Core,n/a,Wood,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type E2,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Flush Steel - 0915 x 2134mm Exterior,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,52942702-f93d-4c2c-86a3-8dd9fe3c3486-000ead55,n/a,20,year,n/a,45,1.22,2.135,n/a,rectangular,n/a,n/a,n/a,n/a,Steel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type G,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Flush Steel w/Louver - 1830 x 2134mm Exterior,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,52942702-f93d-4c2c-86a3-8dd9fe3c3486-000ead58,n/a,20,year,n/a,45,0.915,2.135,n/a,rectangular,n/a,n/a,n/a,n/a,Steel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type G1,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Flush Steel w/Louver - 1830 x 2134mm Exterior,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,52942702-f93d-4c2c-86a3-8dd9fe3c3486-000ead5b,n/a,20,year,n/a,45,0.76,2.135,n/a,rectangular,n/a,n/a,n/a,n/a,Steel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
M_Round Elbow_2 D,bill.east@us.army.mil,2013-12-30T08:58:11,23-33 49 00: HVAC Ductwork,M_Round Elbow: 2 D,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a2d,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Radius Elbows / Taps,bill.east@us.army.mil,2013-12-30T08:58:11,23-33 49 00: HVAC Ductwork,Rectangular Duct: Radius Elbows / Taps,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Mechanical.DuctType,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c89af,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Mitered Elbows / Tees,bill.east@us.army.mil,2013-12-30T08:58:11,23-33 49 00: HVAC Ductwork,Rectangular Duct: Mitered Elbows / Tees,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Mechanical.DuctType,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c89b0,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Mitered Elbows / Taps,bill.east@us.army.mil,2013-12-30T08:58:11,23-33 49 00: HVAC Ductwork,Rectangular Duct: Mitered Elbows / Taps,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Mechanical.DuctType,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c89b1,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Taps / Short Radius,bill.east@us.army.mil,2013-12-30T08:58:11,23-33 49 00: HVAC Ductwork,Round Duct: Taps / Short Radius,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Mechanical.DuctType,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c89b2,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Oval Duct Mitered Elbows / Taps,bill.east@us.army.mil,2013-12-30T08:58:11,23-33 49 00: HVAC Ductwork,Oval Duct: Mitered Elbows / Taps,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Mechanical.DuctType,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c89e3,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Lighting and Appliance Panelboard,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,23-80 30 11 17: Distribution Boards and Control Panels,225 A,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a75,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Transformer Switchboard,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,23-80 30 11 17: Distribution Boards and Control Panels,914mmx673mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a77,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
DirecDigitalControl-DDC-Panel,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,21-81 61 62 21: HVAC Measurement and Control Equipment,Direct Digital Control (DDC),Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,43d51777-c541-4199-92a9-ce54ae6e63bd-000d9986,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Elevator-Hydraulic,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-50 05 11: Elevators,2000 lbs Elevator-Hydraulic,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,5066c989-bf60-41e6-9725-d9ab96a82932-0004a9f5,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Duplex Receptacle- GFCI,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,23-80 50 11 17: Ground Fault Receptacles,GFCI,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a6c,n/a,n/a,year,n/a,24.89,31.75,106.68,2095W,Traditional,n/a,White,Nylon,n/a,n/a,n/a,n/a,n/a,FSUL Listed (Federal Specification WC596); UL943C22.2No144; UL498C22.2No.42,n/a,n/a,n/a,
Duplex Receptacle,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,23-80 50 11 17: Ground Fault Receptacles,Standard,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a6e,n/a,n/a,year,n/a,19.812,33.579,83.337,8200HI,Traditional,n/a,Ivory,Nylon,n/a,n/a,n/a,n/a,n/a,FSUL Listed (Federal Specification WC596); UL498; CSA-C22.2No.42,n/a,n/a,n/a,
Equip-D3320,bill.east@us.army.mil,2013-12-30T08:58:11,23-40 20 14 14 11: Chairs,Chair with Unit Mount,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,f9610ed6-2aee-4749-ae75-18f7d35bbd3a-000dc9c1,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-D3380,bill.east@us.army.mil,2013-12-30T08:58:11,23-40 20 14 14 17: Stools,Operating Stool,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,7681a401-b868-457a-8161-7fb01dd98a9a-000dd68a,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-D3390,bill.east@us.army.mil,2013-12-30T08:58:11,23-40 20 14 14 17: Stools,Operating Stool,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,7681a401-b868-457a-8161-7fb01dd98a9a-000dd777,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-X8800,bill.east@us.army.mil,2013-12-30T08:58:11,23-40 10 14 24 17: Illuminated Signs,Illuminator-Portable,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,98f4af2a-3f50-40a6-b11a-2de85af976fc-000e5917,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-A5145,bill.east@us.army.mil,2013-12-30T08:58:11,23-40 20 21 31: Robe Hooks,2 Prong Robe Hook,Fixed,n/a,YH990#CP,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,7681a401-b868-457a-8161-7fb01dd98a9a-000dd3a6,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Defibrillator,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,23-40 70 11 14 11 17: Patient Care Equipment,Defibrillator,Moveable,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,f99e071f-a5c8-4f72-b55c-305ae10334b1-000df08c,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Switch- Three Way,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,23-80 50 11 14: Switches,Three Way,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a70,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Switch,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,23.80.50.11.14: Switches,Single Pole,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a72,n/a,n/a,year,n/a,27.2542,33.258,83.3374,PS15AC1CSL,Traditional,n/a,Clear,Nylon,Industrial Heavy-Duty,n/a,n/a,Heavy-gauge one-piece copper alloy contact arm virtually eliminates contact bounce; Cam controls fast “make” and positive “break” to minimize arcing; Heavy-duty bumper pads for quiet operation; High strength thermoplastic polycarbonate toggle; Back body made of glass-reinforced nylon; Locking support provides resistance to face and back body separation; Oversized silver alloy contacts for long life and better heat dissipation; Grounding terminal is standard; Shallow design for ease of installation; Strap nickel-plated steel with integral ground; Auto-ground clip assures positive ground.,n/a,"FSUL Listed (Federal Specification WS896); UL20, CSA-C22.2 111",n/a,n/a,n/a,
Light Fixture LV,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,23-80 70 11 14 11: Downlights,Recessed Halogen Down Light,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a66,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture Q4B,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,"23-80 70 11 11: General Luminaries, Non Directional",4100mm Two Lamp Strip with Wire Guard with Emergency Battery Pack,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a67,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture P1,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,"23-80 70 11 11: General Luminaries, Non Directional",Linear Fluorescent Up Light,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a68,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture T1,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,"23-80 70 11 11: General Luminaries, Non Directional",Linear Fluorescent Wall Mounted Up Light,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a69,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture A3,danielle.r.love@usace.army.mil,2013-12-30T08:58:11,23-80 70 11 14 11: Downlights,600mm X 4100mm Flourescent Troffer with Emergency Battery Pack,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a6a,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture B3,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 14 11: Downlights,600mm X 600mm Fluorescent Troffer (U Shaped),Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a6b,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture E1,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,"23-80 70 11 11: General Luminaries, Non Directional",4100mm Surface Mounted Up Light,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a74,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture Q4,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,"23-80 70 11 11: General Luminaries, Non Directional",4100mm Two Lamp Strip with Wire Guard,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,67fda517-a3a9-4a2b-8241-052854d9873e-000d72c6,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture M175,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 14 11: Downlights,Surface Mounted Metal Halide,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e062f,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture M250,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 14 11: Downlights,Surface Mounted Metal Halide,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e0631,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture S,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 14 11: Downlights,Recessed Incandescent Down Light,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e0633,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture SA,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,"23-80 70 11 11: General Luminaries, Non Directional",152mm Recessed Fluorescent Shower Light,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e0635,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture SB,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 14 11: Downlights,102mm Recessed Fluorescent Down Light,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e0637,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture SBB,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 14 11: Downlights,102mm Recessed Fluorescent Down Light with Emergency Battery Pack,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e0639,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture SC,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 14 11: Downlights,213mm Recessed Compact Fluorescent Down Light,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e063b,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture SCB,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 14 11: Downlights,213mm Recessed Compact Fluorescent Down Light with Emergency Battery Pack,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e063d,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture SD,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 14 11: Downlights,213mm Recessed Compact Fluorescent Down Light,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e063f,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture SDB,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 14 11: Downlights,213mm Recessed Compact Fluorescent Down Light with Emergency Battery Pack,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e0641,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture SE,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 14 11: Downlights,213mm Recessed Compact Fluorescent Down Light,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e0643,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture X1,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 17 14: Illuminated Signs/Boards,Single Face Ceiling Mounted LED Exit Light,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e0645,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture Y1,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,23-80 70 11 17: Specialized Lighting by Location or Use,"Recessed ""Darkroom in Use"" Fixture",Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e0647,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture R1,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,"23-80 70 11 11: General Luminaries, Non Directional",305mm X 4100mm (Normal) Fluorescent Toffer,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,faa5e7c9-45b0-4039-8213-c2804611b072-000e0649,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Light Fixture C1,danielle.r.love@usace.army.mil,2013-12-30T08:58:12,"23-80 70 11 11: General Luminaries, Non Directional",600mm X 4100mm Flourescent Troffer,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,f44fd959-a3d1-4daa-ac1f-485561cda909-000e064b,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
